#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_fairfieldensis	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	41	0	0	0	0	0	1	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	59	801	4	3	20	110	1	14	9	28	60	7	293	394	64	20	494	119	114	219	37	17	47	41	99	15	23	328	6	11	49	347	197	0	179
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	49	123	0	0	1	0	0	0	4	1	1	0	16	0	0	0	4	3	4	4	0	6	5	0	0	5	0	1	3	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU286|NN=Ruminococcus_bromii_DQ882649|D=96.6	0	0	0	0	0	0	0	0	13	84	1	0	7	16	13	15	3	21	23	38	40	7	6	6	20	25	0	5	113	21	53	0	8	8	20
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU107|NN=Blautia_glucerasea_AB588023|D=95.6	3	1	1	36	33	18	10	11	19	16	38	8	414	4	7	41	2360	8	10	20	17	53	100	17	9	119	23	565	18	44	34	0	6	55	23
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92.5	274	10	29	0	1149	5	968	0	1148	893	1868	347	812	41	1029	1	1313	841	223	5	1	105	901	1809	2	300	726	2	726	669	0	1	4056	2	36
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	0	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	3	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92.3	22	889	242	15	0	27	0	17	2	0	47	0	12	0	15	68	29	4	0	47	13	21	8	18	11	0	43	146	23	41	71	0	57	11	42
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87.1	2	93	0	0	887	393	0	4	3	129	143	0	180	0	59	0	125	252	0	356	1193	0	646	1	347	110	9	110	564	944	72	1	0	0	426
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	93	0	0	0	0	32	3	8	1	20	4	4	169	6	69	0	464	4	59	37	30	18	165	138	0	552	53	428	84	20	22	0	2	300	637
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU18|NN=Ruminococcus_bromii_DQ882649|D=88.1	0	0	0	0	4	0	1	11	5	33	6	6	17	5	15	129	8	6	21	16	39	17	27	95	20	114	12	20	36	16	0	0	42	6	4
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	2	7	0	1	0	0	3	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus_callidus	0	1	2	37	0	0	30	125	0	41	0	0	98	6	2585	637	164	64	139	2542	1121	0	188	2	92	0	232	376	171	0	0	0	707	29	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	1	0	6	232	0	4	58	0	0	0	19	139	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93.1	0	0	0	0	0	0	1	3	7	5	3	0	4	0	0	4	6	2	1	0	31	1	1	3	1	14	1	0	0	3	4	0	6	6	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Fusicatenibacter; Fusicatenibacter_saccharivorans	209	20	2	21	11	71	11	20	16	82	70	27	91	10	44	42	1093	24	100	160	132	27	290	10	0	314	32	132	86	33	18	0	30	1038	2379
