#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1051|NN=Christensenella_minuta_AB490809|D=87.2	7	13	2	36	53	30	1665	32	8	10	21	21	65	43	0	0	118	53	37	44	53	0	31	6	0	44	0	0	1	627	0	1	0	21	0	0	0	8	0	59
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1688|NN=Gemmiger_formicilis_GU562446|D=92.5	11	153	68	76	55	19	37	19	49	3	14	51	144	66	11	1301	29	30	17	122	132	94	27	4	0	1	0	85	24	18	0	9	0	53	165	6	115	125	118	67
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_merdae	363	113	137	202	506	0	216	0	7	796	1	0	11	0	533	1	626	1	584	438	0	1	80	0	0	5	0	511	1	384	0	2	1	37	1	193	853	563	675	1972
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; OTU876|NN=Corynebacterium_ulcerans_KF564645|D=93.2	0	0	1	7	0	0	0	10	0	0	2	0	3	1	2	4	0	0	1	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	36	1	38	11	32	138	159	31	41	12	17	5	9	25	0	1	32	0	15	31	10	46	44	2	0	8	0	0	0	9	0	3	0	45	13	28	19	10	8	15
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	29	10	43	141	16	7	14	0	51	0	31	429	38	5	466	6	65	61	22	36	67	0	1	0	0	0	0	2203	2	1	1	1	0	77	0	237	4188	132	1939	9
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum	14	7	93	62	38	9	6	2687	10	144	3	26	28	13	1	0	124	382	4	560	0	108	0	16	1	0	1	1323	5	0	0	34	8	0	30	134	0	155	237	131
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	9	1	0	0	0	0	0	0	2	1	6	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	36	28	6	26	0	22	3	0	42	4	0	27	1	6	15	0	99	4	0	30	1	278	220	1	1	6	0	0	1	0	0	0	0	4	0	1	0	0	0	13
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95.6	24	33	7	57	24	87	22	96	55	3	5	25	18	8	17	0	0	10	5	8	18	0	202	0	0	0	0	0	0	1	0	3	0	0	0	0	0	4	8	8
