#NAME	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH018	AIH020	AIH021	AIH022	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH035	AIH036	AIH037	AIH039	AIH040	AIH042	AIH043	AIH046	AIH047	AIH049	AIH050	AIH051	AIH052	AIH053	AIH054	AIH055	AIH056	AIH057	AIH058	AIH059	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH068	AIH069	AIH070	AIH071	AIH072	AIH074	AIH076	AIH077	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1688|NN=Gemmiger_formicilis_GU562446|D=92.5	122	132	94	27	4	0	1	90	0	85	24	57	18	0	0	9	89	0	114	27	53	165	6	0	115	1	11	35	11	153	68	34	76	55	19	37	19	8	33	49	3	14	51	144	66	11	2	429	125	36	21	118	1301	67	29	30	17
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_merdae	438	0	1	80	0	0	5	1	0	511	1	23	384	169	0	2	0	1	0	15	37	1	193	4	853	0	11	281	363	113	137	0	202	506	0	216	0	516	662	7	796	1	0	11	0	533	799	228	563	1296	41	675	1	1972	626	1	584
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; OTU876|NN=Corynebacterium_ulcerans_KF564645|D=93.2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	7	0	0	0	10	0	0	0	0	2	0	3	1	2	0	0	1	0	0	1	4	0	0	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	31	10	46	44	2	0	8	11	0	0	0	0	9	0	0	3	9	0	24	18	45	13	28	1	19	8	58	13	36	1	38	3	11	32	138	159	31	2	2	41	12	17	5	9	25	0	30	3	10	2	28	8	1	15	32	0	15
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	36	67	0	1	0	0	0	11	0	2203	2	0	1	0	1	1	29	0	61	0	77	0	237	2	4188	18	9	33	29	10	43	5	141	16	7	14	0	5	140	51	0	31	429	38	5	466	0	32	132	52	0	1939	6	9	65	61	22
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum	560	0	108	0	16	1	0	0	1	1323	5	1	0	0	0	34	5	8	0	84	0	30	134	0	0	334	93	3	14	7	93	6	62	38	9	6	2687	130	2	10	144	3	26	28	13	1	41	26	155	18	6	237	0	131	124	382	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0	1	0	0	0	0	0	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	30	1	278	220	1	1	6	0	0	0	1	0	0	0	0	0	0	0	4	17	4	0	1	0	0	0	118	2	36	28	6	23	26	0	22	3	0	1	7	42	4	0	27	1	6	15	8	0	0	177	0	0	0	13	99	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95.6	8	18	0	202	0	0	0	0	0	0	0	0	1	0	0	3	5	0	0	9	0	0	0	0	0	16	44	26	24	33	7	1	57	24	87	22	96	41	0	55	3	5	25	18	8	17	11	2	4	3	1	8	0	8	0	10	5
Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens	81	18	64	38	10	3	6	70	213	264	1	11	0	0	52	15	4	1	5	2	6	40	51	9	1	4	0	8	22	2	4	8	35	16	1	10	13	1	4	15	2	42	12	165	7	2	12	160	5	5	1	88	18	1	8	0	0
