"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"482";"OTU_4671";0.120406563305598;0.603144817961919;1;"s__ovatus";"g__Bacteroides";"control";""
"488";"OTU_4260";0.743869433947045;0.000110835177147717;0.0115494185024792;"s__adolescentis";"g__Bifidobacterium";"control";"*"
"495";"OTU_3407";0.0281633732878003;0.903547296794011;1;"s__fragilis";"g__Bacteroides";"control";""
"498";"OTU_4637";0.163904945581191;0.477742627660191;1;"s__adolescentis";"g__Bifidobacterium";"control";""
"501";"OTU_1719";-0.224944667597572;0.326915346190057;1;"s__copri";"g__Prevotella";"control";""
"502";"OTU_4017";0.00963059701044871;0.966952076051641;1;"s__massiliensis";"g__Alistipes";"control";""
"506";"OTU_2865";-0.152303620763008;0.509852403210336;1;"s__uniformis";"g__Bacteroides";"control";""
"508";"OTU_1104";-0.184533622374955;0.423264348200277;1;"s__pullicaecorum";"g__Butyricicoccus";"control";""
"518";"OTU_2159";-0.174748826504982;0.448676924146059;1;"s__copri";"g__Prevotella";"control";""
"519";"OTU_3522";-0.0314384131036293;0.892390524723886;1;"s__indistinctus";"g__Alistipes";"control";""
"526";"OTU_7328";0.250896044892507;0.272636004347494;1;"s__pseudolongum";"g__Bifidobacterium";"control";""
"530";"OTU_8028";-0.151259753220214;0.512791485050918;1;"s__ovatus";"g__Bacteroides";"control";""
"536";"OTU_3236";-0.216763863589175;0.345272169257075;1;"s__ovatus";"g__Bacteroides";"control";""
"537";"OTU_6073";-0.252209031703456;0.270050448601651;1;"s__copri";"g__Prevotella";"control";""
"539";"OTU_4677";-0.0142445200350127;0.951134395398334;1;"s__ovatus";"g__Bacteroides";"control";""
"541";"OTU_529";NA;NA;NA;"s__gnavus";"g__[Ruminococcus]";"control";""
"559";"OTU_2936";-0.130957349036311;0.571515690049291;1;"s__caccae";"g__Bacteroides";"control";""
"560";"OTU_2420";-0.102107257764926;0.659635401064679;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"561";"OTU_5850";-0.302347689404371;0.182820275901289;1;"s__copri";"g__Prevotella";"control";""
"562";"OTU_1956";-0.156721240470754;0.497504615202301;1;"s__caccae";"g__Bacteroides";"control";""
"565";"OTU_4627";-0.285634007166555;0.209428732736028;1;"s__uniformis";"g__Bacteroides";"control";""
"567";"OTU_2924";0.0128504275508668;0.95591209127359;1;"s__bromii";"g__Ruminococcus";"control";""
"568";"OTU_1155";0.69470509912461;0.000474493080878435;0.021709134596537;"s__hathewayi";"g__Clostridium";"control";"*"
"570";"OTU_7035";0.0233524260252971;0.919967503527061;1;"s__ovatus";"g__Bacteroides";"control";""
"572";"OTU_2135";-0.0044090645915055;0.984866909432953;1;"s__distasonis";"g__Parabacteroides";"control";""
"575";"OTU_4068";0.167622634422828;0.467672796428942;1;"s__ovatus";"g__Bacteroides";"control";""
"579";"OTU_8059";0.016251321956221;0.944259754890111;1;"s__acidifaciens";"g__Bacteroides";"control";""
"589";"OTU_7492";0.0850057457819243;0.714099154391789;1;"s__ovatus";"g__Bacteroides";"control";""
"592";"OTU_6988";0.649019681291578;0.00145662049873607;0.0582648199494429;"s__faecis";"g__Roseburia";"control";""
"593";"OTU_999";0.73277303170155;0.000158078066002432;0.0115494185024792;"s__prausnitzii";"g__Faecalibacterium";"control";"*"
"595";"OTU_585";-0.191345417893822;0.406041180750195;1;"s__moorei";"g__Bulleidia";"control";""
"602";"OTU_1431";-0.0660635942236757;0.776016284020921;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"603";"OTU_597";-0.233444495209204;0.308472959434915;1;"s__caccae";"g__Bacteroides";"control";""
"610";"OTU_6996";-0.134338624840663;0.561535219234447;1;"s__ruminantium";"g__Clostridium";"control";""
"614";"OTU_6228";0.142377101157963;0.538124578968148;1;"s__caccae";"g__Bacteroides";"control";""
"618";"OTU_1165";-0.102084083260753;0.659708168173144;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"621";"OTU_2337";-0.074767402722712;0.747378231401423;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"624";"OTU_7236";-0.0969891013720831;0.675777018570042;1;"s__acidifaciens";"g__Bacteroides";"control";""
"626";"OTU_5389";-0.263900067301826;0.247711200818965;1;"s__copri";"g__Prevotella";"control";""
"633";"OTU_2753";-0.0170714152773086;0.941451456497834;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"650";"OTU_7373";0.542808892787201;0.0110030657818316;0.37941606144247;"s__faecis";"g__Roseburia";"control";""
"652";"OTU_8145";-0.0199947044605301;0.931446709754289;1;"s__faecis";"g__Roseburia";"control";""
"655";"OTU_7811";0.223059944961182;0.331091870029803;1;"s__dispar";"g__Veillonella";"control";""
"657";"OTU_7415";0.0791902092615143;0.732945199323941;1;"s__faecis";"g__Roseburia";"control";""
"660";"OTU_5393";-0.263549930772663;0.248362424054303;1;"s__copri";"g__Prevotella";"control";""
"664";"OTU_2056";-0.263567231926292;0.248330219622079;1;"s__caccae";"g__Bacteroides";"control";""
"667";"OTU_3894";-0.177377590931925;0.441772708033856;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"668";"OTU_698";-0.0666201430006673;0.77417625289131;1;"s__methylpentosum";"g__Clostridium";"control";""
"673";"OTU_4708";0.0233764658408881;0.919885369996778;1;"s__faecis";"g__Roseburia";"control";""
"674";"OTU_6182";0.0485209736475875;0.834558928385702;1;"s__ovatus";"g__Bacteroides";"control";""
"676";"OTU_2458";0.00661025042452982;0.977313409192582;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"678";"OTU_7262";-0.0188340650677152;0.935417805217476;1;"s__massiliensis";"g__Alistipes";"control";""
"688";"OTU_7291";-0.0725841624599224;0.754533282862729;1;"s__uniformis";"g__Bacteroides";"control";""
"690";"OTU_745";0.00523580367817444;0.982029725440678;1;"s__methylpentosum";"g__Clostridium";"control";""
"692";"OTU_3723";0.0163305793688437;0.943988320330382;1;"s__acidifaciens";"g__Bacteroides";"control";""
"698";"OTU_2672";0.198854515386837;0.387508935823298;1;"s__ovatus";"g__Bacteroides";"control";""
